# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# THE ONE RE-EVALUATION (fix pass 2).  Every arm on the IDENTICAL schedule: m3_walk deployable, top-3 per asset-day, D-077-UPDATE veto, one-position chronological walled phase-close replay.
# capture_oracle is pooled over E3..E8 with CR1 intervals clustered by DAY; the per-era columns are the same statistic per fold.
# form=primary is the champion head alone; form=composed is m3_walk's rank-sum of the two heads.  A single-head arm (a ranker) has one row.
arm	form	kind	arch	trunk	tokenizer	n_sessions	usd_per_session	ps_lo	ps_hi	usd_per_trade	capture_oracle	co_lo	co_hi	capture_day	E3	E4	E5	E6	E7	E8
FORESIGHT3_NONCAUSAL	reference	reference				2320	1868.34	1805.34	1931.35	1710.36	0.6315	0.6169	0.6462	0.5566	0.6686	0.7249	0.8312	0.6264	0.5658	0.5463
PROBE_SHARED_FUSED_SI	primary	probe	eventlm-probe-fused	PRE_V_shared_MULTI		773	156.86	99.16	214.56	127.06	0.0393	0.0247	0.054	0.0393	0.0505	0.0561	0.0702	0.0283	0.0123	0.0418
PROBE_SHARED_FUSED_HG	primary	probe	eventlm-probe-fused	PRE_V_shared_MULTI		773	66.26	22.27	110.24	45.89	0.0361	0.0119	0.0604	0.0244	0.0496	0.0157	0.1513	0.0267	0.0042	0.0421
PROBE_NEXTONLY_FUSED	primary	probe	eventlm-probe-fused	PRE_V_shared_NEXT		2320	105.63	79.14	132.12	81.8	0.0357	0.0266	0.0449	0.0315	0.0697	0.0596	0.0431	0.0356	0.02	0.0154
GBT_CRE26	primary	champion	gbt-m3features+creator26			2320	97.19	70.12	124.25	80.38	0.0328	0.0235	0.0422	0.029	0.0571	0.0302	0.0518	0.0315	0.0234	0.0217
GBT_CRE26_MAECAP	primary	champion	gbt-m3features+creator26			2320	97.19	70.12	124.25	80.38	0.0328	0.0235	0.0422	0.029	0.0571	0.0302	0.0518	0.0315	0.0234	0.0217
GBT	primary	champion	gbt-m3features			2320	95.41	67.96	122.85	77.38	0.0322	0.0229	0.0416	0.0284	0.0462	0.028	0.0556	0.0321	0.0354	0.0134
GBT_M3FEATURES	primary					2320	95.41	67.96	122.85	77.38	0.0322	0.0229	0.0416	0.0284	0.0462	0.028	0.0556	0.0321	0.0354	0.0134
GBT_MAECAP	primary	champion	gbt-m3features			2320	95.41	67.96	122.85	77.38	0.0322	0.0229	0.0416	0.0284	0.0462	0.028	0.0556	0.0321	0.0354	0.0134
PROBE_RANDOM_FUSED	primary	probe	eventlm-probe-fused	RANDOM		2320	94.66	69.24	120.08	73.88	0.032	0.0232	0.0407	0.0282	0.0503	0.0614	0.0321	0.0447	0.0097	0.0187
GBT_MAECAP	composed	champion	gbt-m3features			2320	94.44	51.96	136.93	86.91	0.0319	0.0174	0.0464	0.0281	0.0728	0.0948	0.0213	0.032	-0.014	0.0242
PROBE_PRE_V_shared_MULTI_FUSED	primary	probe	eventlm-probe-fused	PRE_V_shared_MULTI		2320	94.29	66.87	121.72	74.38	0.0319	0.0224	0.0414	0.0281	0.0575	0.0546	0.0425	0.0474	0.0174	0.0038
GBT_CRE26	composed	champion	gbt-m3features+creator26			2320	91.22	47.69	134.76	84.89	0.0308	0.016	0.0456	0.0272	0.0513	0.0673	0.0331	-0.0171	0.0087	0.0543
PROBE_PRE_V_shared_MULTI_CTX	primary	probe	eventlm-probe-ctx	PRE_V_shared_MULTI		2320	88.64	63.56	113.72	70.28	0.03	0.0214	0.0385	0.0264	0.0437	0.0566	0.0374	0.031	0.0228	0.0116
GBT_CRE26_MAECAP	composed	champion	gbt-m3features+creator26			2320	80.32	37.11	123.53	73.82	0.0271	0.0125	0.0418	0.0239	0.0453	0.0492	0.066	0.0014	0.0007	0.0324
GBT	composed	champion	gbt-m3features			2320	80.17	38.04	122.29	73.5	0.0271	0.0129	0.0413	0.0239	0.0436	0.038	0.0486	0.0045	0.0065	0.0383
GBT_M3FEATURES	composed					2320	80.17	38.04	122.29	73.5	0.0271	0.0129	0.0413	0.0239	0.0436	0.038	0.0486	0.0045	0.0065	0.0383
RANK_CTXONLY	primary	rank	listwise-ctx	NONE		2320	78.09	27.92	128.25	62.19	0.0264	0.0095	0.0433	0.0233	-0.0034	0.0611	-0.0037	0.0251	0.0562	0.0123
PROBE_PRE_V_shared_MULTI_CTX	composed	probe	eventlm-probe-ctx	PRE_V_shared_MULTI		2320	69.35	38.22	100.48	65.24	0.0234	0.0128	0.0341	0.0207	0.0173	0.057	0.0593	0.0276	0.0042	0.011
PROBE_SHARED_FUSED_NKD	primary	probe	eventlm-probe-fused	PRE_V_shared_MULTI		774	70.63	17.14	124.13	49.79	0.0231	0.0055	0.0407	0.021	0.0611	0.0298	0.0046	0.0251	0.0263	0.0115
PROBE_SIONLY_FUSED_SI	primary	probe	eventlm-probe-fused	PRE_V_si_MULTI		773	91.11	33.73	148.49	75.92	0.0228	0.0083	0.0374	0.0229	0.0545	0.0004	0.0452	0.0053	0.0005	0.0399
PROBE_NEXTONLY_FUSED	composed	probe	eventlm-probe-fused	PRE_V_shared_NEXT		2320	57.67	25.7	89.64	52.24	0.0195	0.0086	0.0304	0.0172	0.009	0.0333	0.0372	0.0204	0.0197	0.0108
PROBE_PRE_V_shared_MULTI_FUSED	composed	probe	eventlm-probe-fused	PRE_V_shared_MULTI		2320	56.35	23.23	89.46	51.23	0.019	0.0078	0.0303	0.0168	0.0081	0.0336	0.0353	0.0208	0.0185	0.011
RANK_FUSED_NEXT	primary	rank	listwise-fused	PRE_V_shared_NEXT		2320	52.51	3.22	101.8	42.42	0.0178	0.0011	0.0344	0.0156	-0.008	0.0783	0.017	0.0248	0.0099	0.0061
PROBE_RANDOM_FUSED	composed	probe	eventlm-probe-fused	RANDOM		2320	50.63	17.75	83.51	46.38	0.0171	0.006	0.0283	0.0151	-0.0084	0.0308	0.0354	0.0175	0.0159	0.019
PROBE_SHARED_FUSED_HG	composed	probe	eventlm-probe-fused	PRE_V_shared_MULTI		773	23.47	-31.33	78.28	20.06	0.0128	-0.0171	0.0427	0.0086	-0.038	-0.0199	-0.2577	0.0509	0.0468	0.0626
RANK_FUSED_MULTI	primary	rank	listwise-fused	PRE_V_shared_MULTI		2320	33.34	-19.14	85.81	27.19	0.0113	-0.0065	0.029	0.0099	-0.0143	0.0677	-0.0092	0.0277	0.0093	-0.0024
PROBE_SIONLY_FUSED_SI	composed	probe	eventlm-probe-fused	PRE_V_si_MULTI		773	39.63	-24.39	103.64	37.18	0.0099	-0.0062	0.0261	0.0099	0.027	0.0058	0.0079	0.023	-0.0133	0.0149
LMART2_DAY_MEM_CRE26	primary	rank2	lambdamart-day	NONE		2320	29.04	-19.65	77.73	23.75	0.0098	-0.0067	0.0263	0.0087	0.0067	0.0218	0.0325	0.0335	-0.0001	-0.0109
LMART2_DAY	primary	rank2	lambdamart-day	NONE		2320	24.01	-23.86	71.88	19.55	0.0081	-0.0081	0.0243	0.0072	-0.0048	0.0488	0.0248	-0.01	-0.0085	0.0173
LADDER_trf_1M_L256	composed	ladder	trf			2320	20.22	-27.36	67.79	12.06	0.0068	-0.0092	0.0229	0.006	0.0059	-0.0318	-0.0075	0.0016	0.0119	0.0312
RANK_SEQONLY	primary	rank	listwise-seq	PRE_V_shared_MULTI		2320	15.15	-38.18	68.49	11.15	0.0051	-0.0129	0.0231	0.0045	-0.0194	0.0132	0.0388	-0.0295	0.0391	-0.0059
LMART2_DAY_MEM	primary	rank2	lambdamart-day	NONE		2320	14.49	-35.17	64.15	8.32	0.0049	-0.0119	0.0217	0.0043	0.0268	0.0166	-0.0192	-0.0268	0.0101	0.0134
PROBE_SHARED_FUSED_SI	composed	probe	eventlm-probe-fused	PRE_V_shared_MULTI		773	18.41	-46.79	83.61	19.0	0.0046	-0.0118	0.021	0.0046	0.0412	-0.0304	0.0584	-0.026	-0.0087	0.0111
LMART2_CLASS_MEM_CRE26	primary	rank2	lambdamart-class	NONE		2320	6.47	-44.19	57.14	6.56	0.0022	-0.0149	0.0193	0.0019	0.0392	0.0322	0.0321	-0.0014	-0.022	-0.0218
